Location,Bees,Bird,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_&_Crickets,Vascular_plants
NG76,9,68.1638,337.3,17.3,5,48,3.2,NA,199.4,2.8,243.5
NG77,8.2,71.1121,330.3,17.7,3.8,51.2,3.5,NA,214.6,3,249.1
NG78,8.6,65.9903,314,17.1,5.8,46.7,3.4,NA,184.4,2,285.3
NG79,9.9,49.0863,328.4,17.1,4.6,48.3,3.5,NA,181.9,1.6,251.4
NG80,8.5,62.9262,253.2,22.6,7.5,36,1.5,NA,181.5,1.8,303.1
NG81,8.1,75.7056,260.7,21.1,6.1,31.4,2.2,NA,224.1,2.9,306.1
NG82,8.3,76.6168,329.6,19.9,5.6,28,2.2,2.8,220.2,2.9,305.2
NG83,8.8,75.6893,332.1,18.3,4.5,50.1,3.6,0.7,229.5,3,300.2
NG84,9.6,74.3679,332,16.7,15.4,52.8,2.2,1.5,249.6,2.1,259
NG85,8.9,77.6857,333.7,18.4,20.2,45.9,2.2,1.5,245.2,2.8,258.8
NG86,11,58.004,331.8,16.4,15.9,33,3.1,NA,238.7,1.8,255.9
NG87,8.3,74.691,329.5,18.3,14.8,52.4,3.3,NA,240.2,2.5,253.4
NG88,7.6,77.7074,334.7,18.5,10.6,43.2,3.4,NA,211.6,2.8,256.4
NG89,7.6,72.6754,319.6,17.3,7.9,44.8,3.5,NA,208.2,2.1,241
NG90,8.4,67.7627,255.5,22.6,27.6,38.6,1.5,1.5,208,1.8,286.6
NG91,9.8,62.2804,272.8,21.2,11.7,35.4,1.5,1.5,187.5,1.1,272.4
NG92,8.6,69.04,263.1,20,5.4,39.2,3.6,NA,220.6,2.9,288.9
NG93,8.4,68.0308,282.7,17.4,15,46.5,3.6,NA,214.5,3,270.7
NG94,10.5,72.5833,343.3,18.3,17,51.3,3.5,NA,229.1,3,284.6
NG95,12.8,51.9761,330.1,17.2,17.5,46.8,1.9,NA,228.8,2.6,263.2
NG96,11.9,54.4956,328.6,17.3,16.1,46.5,2,1.5,225.6,2.1,258.5
NG97,8.1,68.1147,329,17.7,14.4,34.7,2.2,1.5,232.9,2.7,271.6
NG98,8.9,67.0702,323,18,14.4,48.5,3.5,NA,220.3,1.8,245.6
NG99,7.2,71.9495,315,17.8,5.9,44.8,3.5,NA,167.9,2.1,240.4
NH00,8,56.8066,270.8,22.3,33.2,32.3,1.5,1.5,172.6,0.8,274.6
NH01,6.6,52.6496,273.3,22,28.5,26.9,2.3,1.5,194.5,1.8,254.1
NH02,8.1,54.6213,267.9,20.1,21.7,43.4,1.5,1.5,236.8,2.3,229.8
NH03,8.1,55.213,287.1,19.7,16.3,47,3.5,NA,244.5,2.3,218
NH04,11.8,53.9889,302.8,17,16,47.4,1.6,NA,229.5,2.3,234.1
NH05,13.5,58.2241,335.7,18.1,17.4,51.8,2.6,NA,234.7,2.7,265.6
NH06,12.8,61.6329,334.8,17.7,19.6,34.2,1.3,1.5,230.3,3.5,262.9
NH07,11.4,55.7998,325.3,17.7,14.9,43.8,1.5,1.5,229.3,2.3,250.7
NH08,12.3,57.3053,321.2,17.6,15.3,49.3,2.2,NA,229.1,2.2,243.5
NH09,8.1,66.8775,313.5,17.3,5.5,46,3.4,NA,155.9,1.5,235.3
NH10,10.7,68.0803,269.1,21.8,41.3,38.1,NA,1.5,227.3,2.3,275.6
NH11,8.7,57.0615,291.1,21.9,31.5,32.9,1.5,1.5,182.2,1,237.8
NH12,10.9,63.742,303.3,21.6,29.2,32.6,1.5,1.5,231.9,1.6,215.8
NH13,11.9,57.2586,324.6,19.4,29.3,31.5,0.8,1.5,228.8,1.6,228.6
NH14,12.4,54.564,321.9,17.6,20.3,30.9,0.9,1.5,228.9,1.9,233.9
NH15,17.1,65.3674,322,17.9,30.8,35.9,1.1,1.5,245.5,3.3,258.1
NH16,14,57.289,299.3,17.7,18,32,1.5,1.5,234.9,1.8,240.8
NH17,12.3,55.7402,308.2,17.8,15,44.7,1.5,1.5,230.8,1.9,238.2
NH18,14.8,73.0794,320.2,18.5,15.1,38.7,3.5,1,237.1,2.5,246
NH19,9.8,68.9353,315.2,18.3,9.8,38.1,3.1,0.7,223.1,2.2,236.4
NH20,17.4,77.541,266.3,24,48.6,46.8,0.8,2.1,234.1,2.7,266.3
NH21,20,81.1283,265.7,24.8,48.7,46.8,0.8,2.6,238.2,3.2,256.6
NH22,16.2,75.5952,312.3,21.9,46.1,43.4,1.1,2,236.5,2.6,289
NH23,11.6,70.7581,322.1,19.8,41.2,39.1,0.8,1.8,247,2.7,250.2
NH24,12.4,59.0662,314.4,17.9,28.1,28.4,0.8,1.5,227.5,1.6,217.5
NH25,21.4,72.4424,319.5,19,45.1,39.9,1.5,2.2,227,3.4,245.6
NH26,12.9,59.6812,302.7,18.1,19.7,32.9,1.4,1.5,231.5,1.9,242.6
NH27,13.3,58.7268,330.3,18.1,15.3,32.8,1.5,1.5,230.4,2,238.2
NH28,12.1,55.9028,318.4,17.9,14.5,40.8,1.7,0.8,228.5,2.4,223.6
NH29,8.8,59.8649,310.5,18.1,14.6,34.1,1.6,0.7,218.3,2.9,235.8
NH30,19,83.9754,301.4,25,47.9,58.5,0.8,4.2,258,3.5,311.8
NH31,20.3,82.9823,268.4,25.2,48.3,52.9,0.9,3.9,251.3,3.5,261
NH32,20.2,83.6765,309,24.1,48.7,47.6,0.9,3.7,248.7,3.4,257.8
NH33,31.6,86.7506,304.4,20.2,49.5,65.1,4.4,3.6,256.8,3.6,268.2
NH34,19,76.306,320.3,19.5,47.7,43.2,1.5,2.2,232,3.2,245.3
NH35,20.5,74.5112,312.1,19.4,45.7,39.6,1.5,2.2,224.5,3.5,239.5
NH36,28.6,72.2134,303.4,19.3,44,64.4,3.1,2.4,235.3,3.6,255.3
NH37,18.1,65.0535,310.5,18.4,24.7,32.7,1.6,1.3,208,3.5,245.1
NH38,16.9,62.4023,322.1,18.1,13.8,34,1.6,0.8,209.4,3.3,222.1
NH39,12.5,61.0359,293.6,18.3,18.6,33.3,1.6,0.8,208.9,2.3,227.2
NH40,10.3,72.792,328.8,22.5,41.5,44.7,NA,1.5,221.8,1.9,273.3
NH41,19.1,83.1116,311.1,25.3,50.2,50.9,0.9,3.7,244,3.5,305.1
NH42,31.5,88.3758,305.3,24.8,51.8,75.9,4.5,4.5,269.6,3.7,274.3
NH43,31.9,89.3646,305.5,21.6,49.2,70.7,4.3,4,261.7,3.7,274.8
NH44,33.3,90.9934,302.7,20.2,48.3,66.4,4.6,3.8,256.1,3.7,272.9
NH45,34.2,92.4161,292.2,20.6,45.9,66,4.4,4.3,251.1,3.7,327.8
NH46,18.9,68.4966,294,19.1,36.6,34.1,1.6,2.2,204.9,3.1,267.2
NH47,13.4,61.5379,309.6,18,12.6,28.9,1.5,2.1,201.7,1.7,240.8
NH48,10.1,61.913,323.4,18.4,7.9,31.8,1.6,0.8,199.4,3.3,237.4
NH49,7.6,60.26,295.3,17.7,9.5,30.7,1.5,0.7,182.2,2.4,265.1
NH50,7.1,59.3627,344.7,21.5,27.5,40,NA,1.5,166,1.8,281.3
NH51,13.8,80.0212,319.6,24,49.1,48,0.8,2.3,233.2,2.8,249.7
NH52,32.9,92.3907,304.4,24.8,55.4,85.5,4.5,7.7,278,3.7,305.3
NH53,32.6,92.0417,297.4,24.5,52.6,81.4,4.5,7.3,269.9,3.7,304.8
NH54,33.7,93.3425,295.2,24.4,41.7,70.3,4.2,6.3,249.3,4.1,347.1
NH55,33.9,93.014,285.3,24.3,43.3,69.3,4.3,5.4,247.5,4.1,348.6
NH56,23.8,85.0456,291.7,19.8,40.2,47.6,3.7,3.4,231.2,3.6,337.1
NH57,17.4,69.5105,297.3,19.5,30.8,37.6,2.4,1.6,208.3,3.3,268.5
NH58,17,64.88,285.8,19.8,8.3,34.5,2.2,0.7,215,1.8,231.4
NH59,30.7,78.9185,275.1,22.1,23.5,58.2,4.1,1.6,231.9,3.6,314.6
NH60,7.6,52.1188,356.1,20.8,21.2,34,3.1,1.4,119.5,2,284.9
NH61,7.2,61.9317,348.3,20.8,25.4,31,NA,2,162.5,1.8,276
NH62,20.4,87.4911,343.1,23.2,50.9,59.7,2.9,4.6,256.9,3.6,311.1
NH63,32.3,93.0172,296.4,25,53.2,87.7,4.3,8.6,278.2,3.7,328.9
NH64,33.6,93.4843,294.7,24.7,46.4,75.4,4.2,9,254.4,4.3,350.4
NH65,33.8,91.286,295.9,24.2,40.9,68,4.1,5.6,248.8,4.3,353.1
NH66,33.2,90.3174,287.9,24,40.9,61.9,3.8,5.8,245.4,4.2,353.7
NH67,29.8,85.5816,286.9,23.1,30.8,62.9,4.4,3.7,244.7,3.6,339.4
NH68,30.7,88.6078,301.1,23.1,32.9,59.6,4.2,4.5,239.6,4.2,269.4
NH69,29.9,82.2934,289.6,21.9,23.9,54.1,3.9,2,226,3.5,259.2
NH70,23.8,95.2748,364.2,24.7,45,82.5,2.9,7.5,267.2,3.5,303.9
NH71,8,62.3817,362.8,20.7,41.2,42.4,2.3,3.5,201,2.1,284.9
NH72,11,80.0634,315.2,20.1,50.3,64.3,2.1,4.1,245.3,2.9,278.9
NH73,24.5,88.8828,300,24.2,44.2,80.1,3.5,7.2,271.4,3.6,283.5
NH74,32.2,90.8919,288.7,24.8,50.3,80.9,3.5,9.2,271.8,4.2,349.4
NH75,33.7,90.1125,279.7,24.4,43.5,69.6,4,6.3,253.1,4.2,356.8
NH76,32.3,88.4835,280.2,24.3,39.2,62.8,3.5,5.8,244.5,4.2,357
NH77,34,88.2475,280.4,23.9,43.3,65.7,4.4,5.8,245.7,4.1,349.7
NH78,32.7,88.3414,267.1,24.3,43.6,65,4.2,5.8,244.2,4.1,349.6
NH79,28.2,85.1785,271.6,22.8,30.8,55.7,3.8,4.4,239.5,4.1,308.1
NH80,23.3,95.604,319.9,24.7,41.4,82.1,3.2,7.6,265.5,3.3,331.6
NH81,21.9,93.0892,336.1,24.7,50.8,82.3,2.8,7.9,265.3,3.1,306
NH82,20,87.2928,321.7,23.3,51.7,80.8,2.7,7.8,264.2,2.9,290.9
NH83,12.1,81.9421,312.8,19.8,44.9,63.3,2.4,4.5,236,2.5,273
NH84,22.2,83.728,298.9,20.5,44.3,62,3.4,4,254.2,4.2,289.2
NH85,32.1,90.1347,268,24.5,51.8,71.5,3.9,8,262.5,4.2,360.3
NH86,23.8,84.9853,265,24.3,34.6,53.9,3.3,7.1,234.6,4,354.1
NH87,31.3,86.3725,257.9,24.2,42.2,60.2,3.9,5.7,239.2,4,358.1
NH88,25.6,82.3217,251.8,24.3,36.5,65.2,4.5,6.7,241.5,4.2,346.4
NH89,20.1,80.0716,250.6,24.2,31.4,62.1,3.7,5.9,229.8,3.8,350
NH90,14.8,76.3447,376.3,21.1,48.3,70.6,3.5,4.2,250,3.4,305.9
NH91,22.9,92.8723,310.1,24.8,44.1,81.8,3,8.1,266.8,3.2,328.7
NH92,21.9,90.1915,303.2,24.6,50.1,81.8,2.7,8,268.8,3,313.1
NH93,20.6,87.2861,310.6,24.5,53.5,80.7,2.4,8,265.8,3,271.3
NH94,23.1,84.0919,288.1,24.1,42.9,75.8,2.8,7.4,265.1,3.5,334
NH95,31.3,88.4153,275.5,24.4,47.9,71.7,4,7.8,266,4.2,356.6
NH96,25.6,83.5421,293.7,24.2,39.7,67.2,4.2,7.6,251.4,4.1,342.1
NH98,19.8,78.3683,235.3,24,23.4,61.5,4.2,6.2,238,3.9,354.9
NJ00,13.9,55.0637,372,20.6,29.8,49.4,3.5,0.7,195.3,2.8,294.4
NJ01,19.8,85.7875,341.2,24.5,53.3,79.3,4,8.4,261,2.6,304.4
NJ02,22.6,87.5994,300,25,48.6,80,3.3,8.4,266.6,3.1,319.9
NJ03,20.5,84.5405,306.6,22.7,51.3,78.4,2.9,7.7,258.4,2.7,285
NJ04,15.6,79.0271,297,19.8,41.1,67.4,4.2,6.7,238,2.6,287.6
NJ05,29.6,86.3815,269.2,24.6,40.5,71.1,4.2,8.2,271.2,3.9,354.6
NJ06,26.2,86.4579,238.1,24.1,38.7,66.7,4.3,7.1,257.4,4.1,364
NJ10,14,63.2373,374.3,21.4,41.4,58.5,3.9,2.4,218.8,2.8,294.8
NJ11,10.5,76.7096,323.2,20,42.7,61.6,5.3,5.1,235.3,2.1,296.1
NJ12,17.8,80.1016,314.8,20.3,51.5,73.3,6.2,7.5,251.6,2.8,303
NJ13,21.5,83.0162,303.5,23,46.8,74.6,4.3,7.8,253.7,2.8,296.1
NJ14,20.5,80.8805,289,22.4,38.7,69.8,4.5,7.5,253.1,2.8,303
NJ15,22.4,79.6854,278.9,23.3,33.3,65,4.7,7.1,257.4,2.8,346.3
NJ16,22.9,85.6128,227.5,24.1,33.1,64.1,4.9,7.8,254.9,4.1,372.8
NJ17,18.7,76.4625,250.1,24.1,25.9,58.1,5.1,7.8,239.1,4,355.4
NJ20,12.9,65.5304,360.3,21,43.3,45.1,3.1,0.9,191.6,2.4,305.6
NJ21,15.1,66.8866,364,20.3,43.3,55.9,2.7,2.2,203.6,2.3,300.8
NJ22,13.6,74.182,313,19.3,38.5,55.3,6,5.3,237.1,2.2,301.3
NJ23,16.3,75.5084,304,19.3,45.4,65.6,5.6,7.4,255.4,3.4,293.4
NJ24,22.8,80.2565,268.9,24.4,26.4,69.9,5.1,7.9,259.3,3.3,350.1
NJ25,24.3,80.9025,269.7,24.2,30.4,69.9,5.3,7.4,257.9,3.4,349.8
NJ26,22.2,84.5782,230.2,24,32.5,65.8,5,7.9,254.1,3.9,374.4
NJ27,18.9,76.9263,250.6,24,25.6,62.8,5.7,7.5,237.4,4,340.1
NJ30,15.1,70.429,325.5,21.2,41.3,61.2,3.1,2.5,217.3,2.3,300
NJ31,11.5,74.8745,307.1,20,38.5,45.3,5.5,4.8,227.1,2.2,334.4
NJ32,15.9,76.1628,311.2,19.4,39.9,58.6,6.5,5.7,235.1,2.3,293.9
NJ33,13.1,73.599,299.9,19.1,42.2,48.8,5.6,5.5,249.5,3.3,302.5
NJ34,12.5,75.141,264.7,20.7,15.8,48,5.1,4.8,254.2,2.8,356.8
NJ35,23.3,80.1315,253.2,24,25.4,67.8,5.9,6.7,252,3.4,359
NJ36,21.7,82.3904,222.2,23.7,25.5,64.9,5.4,6.5,241.7,3.6,372.5
NJ40,13.1,82.6065,289.4,21.3,16.1,41.1,5.7,5.3,238,2.9,373
NJ41,14.9,73.9447,277.5,18.7,36.7,48.5,4.4,2.4,249.3,3.2,372.2
NJ42,17.6,75.5875,305,19.9,39.3,64,6.4,6.9,264.3,3.1,316.5
NJ43,12.2,73.3064,264.9,19.2,38.6,51.5,5.8,5.7,249.9,3.5,352.9
NJ44,14.7,74.5434,215.3,20.2,14.2,52.9,5.3,4.1,238.5,3.3,395
NJ45,15.6,74.8814,220.3,22.5,11.5,54.7,5.4,4.1,244.2,3,384.4
NJ46,18.8,81.7383,220,23.4,16.3,55.2,6.5,6.4,225.9,3.2,376.5
NJ50,12.5,81.3078,211.2,21.2,9.9,42.9,4.1,5.2,249.3,2.6,388.6
NJ51,12.9,77.9481,205.4,19.6,11.3,41.5,4.8,5.8,239.8,3.7,378.2
NJ52,13.7,73.2708,209.7,20,11.2,53.1,5.5,5.5,247.5,4.2,381.2
NJ53,12.6,73.063,206.6,19.6,9.7,53.6,5.3,4.6,236.7,4.2,388.8
NJ54,15.1,73.5438,208.8,22.4,9.9,50.2,5.9,4.6,244.8,4.2,392.6
NJ55,13.7,72.1862,214.1,18.6,3,44.9,5.4,4.1,244,3.9,391.5
NJ56,14.6,80.3373,199.3,23.2,25.3,47.4,6.3,5.6,205.7,3.2,378.6
NJ60,11,79.0892,212.7,20.8,9.7,40.7,3.6,5.1,240.5,2.5,388.7
NJ61,12.1,76.3815,214.8,20.6,11,39.9,4.2,4.2,241.2,4,385.9
NJ62,13.2,75.0559,210.9,21.8,14.6,55.9,5.4,5.6,260.1,3.9,381.8
NJ63,11.6,72.8768,195.4,19.7,13.1,53.2,5,5.5,236.9,4.4,371.7
NJ64,11.4,73.1234,194.7,22.4,11.3,52.4,5.4,5.3,225.6,4.4,372.4
NJ65,13.5,72.919,197.1,22.6,17.5,54.8,5.9,5,234.7,4.1,373.9
NJ66,10.6,77.4204,196.4,23.6,32.5,46.8,6.9,5.8,220.5,3.5,375.4
NJ70,12.9,79.186,208.5,22.2,14.6,42.6,5.9,6.7,249.7,3.6,394.6
NJ71,12.2,78.001,199,22.2,9.6,44.8,5.3,6.1,246.7,4.1,382.8
NJ72,12.4,74.4977,192.3,20.8,11,52.4,5.5,5.4,236.5,4.4,372.4
NJ73,11.7,73.556,193.3,21.1,10.5,52.8,5.5,5.6,231.3,4.4,372.7
NJ74,11.3,72.7856,192.9,18.9,9.8,51.3,5.6,5.4,232.9,4.4,374.5
NJ75,11.2,72.7456,195.9,21,14.3,52.8,5.6,5.2,223.9,4.4,380.3
NJ76,14.9,74.3081,195.5,19.8,9.5,49.5,6.7,5.1,226.8,3.7,376.1
NJ80,13.1,78.4507,204.6,20.7,11.2,44.8,5,6.1,249.8,4.1,386.4
NJ81,13.7,79.5148,201.2,22.6,14.1,45.7,6.7,6,245.4,3.6,383
NJ82,11.8,74.3196,190.5,20.2,9.7,50.9,5.8,5.7,233.2,4.3,371.3
NJ83,11.5,73.8771,193.9,19.6,10.3,50.8,5.3,6.3,232.8,4.4,375.2
NJ84,11.1,73.4593,196.9,21,11.4,46.5,6,5.4,238.5,4.3,379.4
NJ85,12,72.9323,205.7,20.3,18.4,48.4,6.1,5.8,238.7,4.3,385.4
NJ86,12.7,76.3835,209.3,21.1,16,49.2,6.7,6.1,235.7,4.1,385.1
NJ90,13.9,81.3906,216.9,21.7,23.9,41.2,7.6,7.6,233.5,3,400
NJ91,16.5,81.9614,199.6,23.3,27,43.4,7.6,7.6,244.9,3.2,380.2
NJ92,12.6,77.4319,189.8,20.2,20.8,51.4,6.4,6.3,236,4.2,369.8
NJ93,12,74.2627,194.7,20.2,9.5,50.1,6,5.4,233.6,4.4,377.5
NJ94,11.7,73.6816,196.2,20.7,10.3,49.9,6,5.3,233,4.4,378.5
NJ95,11,73.2085,204.7,21,10,50.4,6.2,5.3,230,4.4,387.4
NJ96,15.4,79.2548,197.7,21.1,27.3,51,6.6,5.4,233,3.8,381.9
NK02,15.3,85.1159,217,23.6,27.8,44.3,7.1,6.6,230.4,3.9,390
NK03,17.3,83.0267,194.6,22.1,27.4,44.8,6.9,5.7,221.6,4.1,378.1
NK04,13.1,74.3916,197.6,21.1,18.4,48.8,6.6,6.1,232.5,4.3,379.7
NK05,14.7,80.7485,204.5,24.1,27.5,43.9,7.1,7,228.2,3.8,386.5
NK06,17.7,83.2501,204.6,24.6,27.8,47.3,7,5.9,231.6,3.8,386.5
NK13,14.3,76.8402,201.5,23.4,27.1,46.5,8.6,7.9,223,2.4,377.7
NK14,13.6,81.4715,204.5,20.5,28.7,40.3,6.3,4.9,220.5,3.5,384.7
NK15,14.1,81.3651,217.7,21.6,36.1,46.4,7.7,7,225.8,2,395.1
NL57,7.6,28.3022,353,16.7,8.2,22.5,3.9,0.7,108.7,2.3,339.6
NL58,8.9,51.3102,344.5,17.9,33.7,28.3,3.8,0.8,143.2,2.8,351.9
NL68,8.1,39.0207,333.3,16.5,32.6,26.2,3.8,0.8,129.4,2.9,350.4
NL69,9.9,68.5157,349,18.5,37.4,28.5,3.7,0.8,137.4,2.1,352.2
NL79,7.9,44.2734,343.9,17.5,32.8,27.3,3.8,0.8,126.3,3.1,353.7
NL93,10.3,58.546,315.3,20,39,25.9,4.5,1.5,218.4,2.4,325.8
NL94,10.2,68.1431,286.1,20.6,39.3,32.1,4.2,1.3,218.7,2.2,319.3
NM04,10.1,68.9171,294.8,21.1,38.4,33.1,4.1,1.6,220.5,2.1,322.6
NM05,9.2,51.7827,288.6,19.8,36.7,27.1,4.1,0.8,219.2,2.8,310.6
NM15,10.4,72.6044,308.4,21.8,17.6,33.1,4.1,2.1,222.5,2.2,315.4
NM16,8.6,29.3885,316.9,19.8,31.9,25.1,4,0.7,177.4,2.9,324.7
NM19,9,21.4878,305.1,17.9,32,25.5,3.8,0.7,138,3.4,310.1
NM21,10.3,59.1291,265.9,20.7,15.6,27.7,4.5,0.9,220.5,0.8,311.4
NM22,13,68.8748,272.3,20.3,23.2,30,4.6,1.6,222,2.2,315.7
NM23,9.3,37.9322,278,21.1,15.6,22.9,4.2,0.7,216.2,2.9,309.6
NM24,9.7,52.8542,312,20.5,25.3,24.1,4.4,0.8,217.1,1.3,322.1
NM25,10.6,72.9069,318.7,23.2,13.6,34.2,5.2,3,231.3,2.8,318.4
NM26,10.7,73.037,334.6,22.7,12,30.6,4.3,1.8,216.7,3,332.7
NM29,6.9,24.6433,336.4,16.7,11.9,13.8,3.8,0.7,221.3,3.3,330.4
NM31,11,70.372,269.6,20.5,17.2,32.3,4.4,0.8,215.7,1.2,323.6
NM32,10.4,79.9098,276.1,21.4,12.3,42.7,6.6,2.7,244.6,1.7,314.9
NM33,11.1,77.6938,306.1,20.7,17.3,34.6,5.2,1.2,241.5,2.1,319.7
NM34,11,80.1376,297.6,21.8,10.8,35.2,5.8,2.9,239.7,2.1,325.5
NM35,11.7,76.5609,295.8,21.7,5.5,33.7,5,0.8,233.2,3.4,322
NM37,8.1,32.3166,336.5,21.8,9.8,22.3,4.1,0.7,206.2,1.7,338.3
NM38,8.5,44.9904,334.2,21.1,9.1,25.2,4.1,0.7,214.4,2.9,332.2
NM39,7.3,73.7543,301.1,23.5,11.4,35,3,0.7,188.2,2.7,331
NM40,11,57.8843,263.3,20.4,14.5,22.2,4.5,1.3,215,1.1,307.1
NM41,12.1,71.5416,273,20.6,14.8,33.2,4.5,1.5,224.4,0.9,319.2
NM42,10.3,84.9548,271.9,22.3,9.5,36.6,6.2,3.3,245.3,1.6,302.2
NM43,10.4,84.4996,277.3,23.1,11.5,39.7,7.5,3.9,241.2,1.8,308.7
NM44,10.4,81.7755,280.1,23,3.1,35.2,5.5,1.4,237.3,2.3,304.3
NM45,10.5,83.5343,288.1,23,10.7,32.8,6.1,1.8,238.8,2.9,303.1
NM46,9.6,79.7007,329.6,24.3,8,35.4,7.6,3.6,217.1,3.4,333
NM47,9.2,79.2875,335.9,24,6.4,35.3,5.1,3.2,222.3,3.7,335.7
NM48,9.4,77.9906,329.3,23.9,7.9,33.8,3.7,1.4,218.2,3.7,337.7
NM49,8.6,76.2254,341.6,24,15,31.9,2.8,0.7,201,3.5,342.9
NM51,13.2,52.2675,274.8,21.4,14.8,30.4,4.6,0.8,220.4,1.5,309.5
NM52,9.8,85.2449,270,22.8,7.8,39.9,6,1.9,247.3,1.4,300.2
NM53,7.7,84.1139,264.7,24.2,3.7,37.9,6.3,2,227,0.8,300.3
NM54,11.9,86.394,272.8,23.3,12.1,41.8,8,4.3,247.4,2,293.1
NM55,9.4,83.8803,285.8,24,12.6,38,7.6,3.9,242.2,3,299.1
NM56,9.1,81.1752,297.6,24.3,7.7,39.3,8.3,3.6,207.1,3.3,320.2
NM57,8.9,79.8024,338.7,24.3,7.1,36.8,6.7,3.1,226.3,3.7,334.3
NM59,8.2,35.058,333.4,19.8,12.4,31.6,2,0.8,205.5,2.8,337.5
NM60,9.5,64.5395,261.8,20.7,13.5,29.2,4.6,1.4,211.8,0.8,323
NM61,13.2,54.7901,269.4,21,14.8,31.6,5.1,0.8,240.2,1.3,302.3
NM62,7.4,82.9253,266.9,23.6,4,35.8,5.9,0.8,246.5,1.5,305.7
NM63,9,77.2959,262.5,23.4,3.1,31.1,4.7,NA,161.4,2.3,301.1
NM64,13.4,82.8573,273.5,23.9,13.9,40.3,6.2,2.4,239.9,2.1,295.6
NM65,6.9,81.9593,268.2,24.6,7.5,38.5,5.8,2,203.2,2.3,293.5
NM66,7.4,81.8651,272.4,24.1,8.3,40.6,6.1,3.3,192.8,3.5,312.9
NM67,8.6,80.4582,331.7,24.3,8.4,35.8,6.1,3,216.6,3.7,342.7
NM68,7.9,79.4925,336.7,24.1,7.1,29.8,2.4,0.8,191.7,3,341.4
NM69,8.1,78.8083,343.4,24.2,8.7,31.7,2.1,0.8,202.6,3.2,343.8
NM70,8.2,84.1116,276.3,23.2,7.4,52.7,9.7,4.2,188.8,0.8,301.4
NM71,9.1,85.0256,274.6,23.7,7.5,47.5,9.7,4.3,197,0.8,299.1
NM72,11.3,77.5653,276.7,21.5,2.5,38.8,5.7,1,240.3,0.9,317.4
NM73,11.1,87.8948,286.9,23.6,11.6,47.8,8.2,4.2,241,1.6,304.1
NM74,7.8,81.7906,264.4,24.8,13.3,44.5,7,2.4,203.9,1.4,301
NM75,6.2,77.8877,265.5,24.6,5.3,33.6,4.2,1.5,215.3,1.7,295.8
NM76,7.4,81.9985,271.7,24.4,8.6,39.1,6.1,2.2,211.7,3.3,312.9
NM77,7.1,77.7547,266.1,24.7,8.6,35,3.7,2.2,209,2.8,312.9
NM78,7.9,79.6586,287.8,24.2,8.1,30.1,1.8,NA,219.9,3,328.8
NM79,8,78.7072,313.2,24.2,8.2,31.3,2,0.8,224,3,329
NM80,7.7,82.9902,284.9,24.6,7.6,49,9.6,4.5,197.2,0.8,309.5
NM81,8.4,81.669,263.9,24.5,7.9,44.8,9.4,4.3,197.1,0.8,282.2
NM82,9,83.7054,285.3,24.2,8.3,46.1,9.6,4.3,200.3,0.9,299.9
NM83,11.8,86.8335,289,23.8,12,45.1,9.6,4.3,218.1,1.1,305.5
NM84,11.6,86.8311,288,24.2,13.8,42.3,9.5,4.2,215.4,1.8,312.2
NM85,6.5,76.8904,263.8,24.6,6.6,36.4,4.6,1.7,242.1,1.6,297
NM86,7.1,81.217,267.7,25,8.2,38.3,4.6,2.2,193,2.3,308.9
NM87,8.3,60.992,260.4,24.4,7.2,36.7,1.6,NA,191.8,2,296.7
NM88,8.5,63.8874,259.2,23.3,6.8,38.2,1.5,NA,195,2,302.9
NM89,8.2,67.9561,264.6,23.6,7.2,36.9,1.6,1.5,182.2,1.7,310.3
NM90,8.4,77.6301,251.5,25.2,14.4,41,7.1,3.3,223.1,NA,279.7
NM91,7.4,77.838,257.6,25.1,13.8,41.2,7.1,2.9,192.5,0.8,281.9
NM92,7.7,77.6658,263.4,25.1,18.2,41.1,7.1,2.8,183.1,NA,306.8
NM93,9.4,82.3938,287.5,24.6,12.4,42.6,9.2,4.2,182,0.8,316.1
NM94,9.9,85.1939,290.3,24.4,12.9,42.4,9.3,4.1,178.9,1.1,317.4
NM95,5,75.8723,284,24.8,18.5,35.3,4.6,1.5,177.4,0.8,327.5
NM96,7.5,73.4934,257.8,24.8,7.8,39.5,3.1,1.5,204.3,2.1,312.6
NM97,10.1,64.4997,260.1,23.5,8.1,40,1.5,0.8,194.3,2.2,312
NM98,9.9,63.8329,261.1,24.3,29.9,37.4,1.5,1.5,217.1,1.9,284.7
NM99,7.7,58.0454,266.3,22.5,10.3,34.2,1.5,1.5,187.7,2.2,284.4
NN00,8.8,77.8526,249.4,25.1,13.5,43,6.8,3.5,224.6,NA,274
NN01,8.2,75.3557,268.9,25.1,11,41.6,5.4,3.2,246.9,NA,300.4
NN02,8.3,77.4859,279.2,25.2,16,40.7,6.9,2.8,208.8,NA,319.3
NN03,7.7,78.6343,290.1,24.7,11,42.2,6,2.5,181.4,NA,305.1
NN04,7.6,78.1707,281.7,25,12.5,41.9,5.2,2.3,233.5,1.5,298.7
NN05,8.5,80.7553,300,24.8,7.1,39.8,5.3,2.4,220.2,1.5,305.5
NN06,8,85.4001,261.8,24.7,6.8,40.3,7.7,3.1,189.6,1.3,314.5
NN07,9.7,80.4801,276.7,24.4,37.9,39.8,5,2,207.3,2.3,325.7
