Location,Bees,Birds,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_&_Crickets,Vascular_plants
NG74,4.9,76.6616,298.2,16.9,39.5,43.5,4.5,2.7,195.8,2.3,326.8
NG75,4.6,67.5569,302.3,16.9,43.8,42.2,3.9,2.3,172.9,2.2,318.5
NG76,4.1,70.8177,302.8,18.1,40.9,36.8,3.7,2.1,147.2,2.8,321.3
NG77,3.9,71.664,299.4,16.8,40,40.2,3.7,2.8,193.9,1.6,314.7
NG78,4.3,64.5669,273.9,16.7,35.8,32.2,3.8,2.5,169.2,1.4,350.6
NG79,3.9,48.7227,287.7,14.8,34,24.5,4.2,0.9,94.4,1.5,327.2
NG80,4.5,63.7032,261.4,19.3,21.5,23.1,4.6,1.2,119.1,3.1,277.5
NG81,7.4,75.9978,250.7,19.9,38.5,40.4,4.6,1.5,118.9,1.9,281.3
NG82,6.6,76.7701,268.8,16.7,40.2,36.5,4.4,1.5,89.2,1.7,331.9
NG83,3.9,78.6193,270.9,16.9,39,35.2,4.1,1.7,180,2.4,336.6
NG84,4.4,78.1779,299.8,17.2,40,43.8,4.3,2.9,187.7,2.2,325.2
NG85,4.5,79.5758,302.1,17.3,40.5,40.6,4.4,3,187.4,2.3,318.4
NG86,3.9,63.0288,303,16.7,36.6,37.1,4.5,1.6,190.6,1.6,312.8
NG87,4.6,74.3792,300.2,16.9,42.6,42.1,4,3.9,203.2,1.6,313.8
NG88,4.1,77.7162,298,16.9,45.1,31.1,3.9,2.5,194.8,2.1,322.3
NG89,4.5,68.7126,289.3,16.6,39.2,31.7,3.9,2.4,193.7,1.8,312
NG90,4.2,69.4629,268.1,20,25.7,29.8,4.6,2.3,184.3,2.9,271.6
NG91,3.8,62.4644,272.9,18.8,31.2,28.4,4.4,1.5,186.5,2.6,273.5
NG92,4,73.2123,243,19.3,36.1,32.6,4,2.8,195.9,2.2,281.4
NG93,3.6,73.9065,252.9,18.1,37.9,35.5,4.1,2.8,180.9,2.4,290.4
NG94,3.8,76.6338,296.6,18.5,40.6,42.2,4.2,2.8,190.3,2.4,332.6
NG95,3,59.6155,305.9,17.8,36.2,41.9,4.1,1.2,182.3,1.7,317.6
NG96,3,59.5965,300.7,18,36.7,41,3.6,0.8,184.1,1.7,310.1
NG97,5.8,71.7999,300.9,16.1,41.5,39.9,4.5,2.2,190,1.7,315.1
NG98,4.3,67.489,292.3,17.8,39.4,43.5,3.8,2.8,189,1.5,311.7
NG99,4.7,67.6568,287.6,17.1,36.6,37.5,3.7,2,187.6,1.4,311.2
NH00,3.7,55.0704,285.2,18.3,21.4,26.5,3.9,1,189,2.1,267.9
NH01,3.9,56.0055,279.3,16.6,26.2,31.8,4,1.7,118.8,2.8,265
NH02,3.6,55.083,267.3,17.5,34.1,37.2,3.7,2.1,192.4,2.4,263.2
NH03,3.6,62.9904,277.6,17.4,44,46.1,4,2.7,198.9,2.3,271
NH04,3.4,58.0203,293.2,18.1,35.5,40.7,3.6,1.2,194.2,1.7,274.5
NH05,3.9,66.3141,298.8,17,45,49,3.7,2.7,196,2.3,324.3
NH06,4.6,64.2822,297.2,16.7,36.7,43.6,4.2,2.6,191.1,2.1,309.5
NH07,3.7,56.6381,300.3,16.5,38.4,41.1,3.8,1.1,189.3,1.6,308.3
NH08,4,57.1753,293.5,17.2,39.4,37.2,4.2,1.7,188.3,1.6,309.6
NH09,4.3,62.2571,287.9,17.7,36.5,35.6,3.9,2.8,191.9,1.4,311.9
NH10,3.4,67.8465,266,18.5,26.8,33.2,4.1,0.9,201.5,3,281.1
NH11,3.7,56.0174,321.1,18.5,28.5,45.6,3.3,0.8,102.9,2.4,268.7
NH12,3.9,62.9246,320.1,17.9,22.6,31.9,3.4,0.9,139.5,2.4,268.2
NH13,3.7,56.7125,318,17,30.4,41.4,3.4,1.5,205.2,2.9,274.4
NH14,3.9,55.0083,308,17.8,28.8,42.5,3.4,1.2,193.5,2.5,278.1
NH15,6.9,65.5375,289,17,33,42.2,3.6,2.3,202.4,3.1,303.6
NH16,5.7,56.0454,269.4,17.9,30.5,41.9,3.5,1.6,200.4,2.5,276.9
NH17,4.5,54.6665,305.2,18.1,36.1,40.4,3.3,1.4,192.1,1.7,270.5
NH18,8.2,73.5241,297.2,17,47.1,67.1,4.3,3.3,197.9,2.3,308
NH19,7.4,69.3025,291.5,17.1,45.2,50.2,4.6,1.8,154.8,2.1,312.9
NH20,7.2,76.7697,264.3,18.9,33.1,56.8,5.2,2,235.8,3.7,275.3
NH21,7.7,80.6375,254.3,19,38.3,55.7,4.5,3.4,233.2,3.8,277.5
NH22,6.8,74.802,300.4,18,26.7,41.6,4.6,1.4,234.8,3.6,312.7
NH23,4.6,70.4909,304.3,16.8,29.7,39.5,4,2,222.2,3.2,308.7
NH24,3.5,58.5043,305.7,14.9,31.6,41.2,3.4,1.7,187.5,2.9,278.3
NH25,8,72.6063,282,17,27.9,42.6,3.9,2.3,188.7,3.7,309.4
NH26,4.4,58.707,258.2,17.9,30,42.2,3.4,1.8,195.4,2.3,292.1
NH27,5.1,57.6174,311.2,18.8,31.7,40,3.4,1.6,197.9,1.9,293.4
NH28,5.5,55.2203,313.4,15.6,36.9,45,3.3,1.5,194,1.6,271.8
NH29,3.7,59.7728,301.3,16.2,37.9,52.4,3.4,1.8,174.7,1.8,295.6
NH30,11.1,81.6392,289.3,20.5,46.6,61.2,5.5,3.7,239.1,3.9,310.9
NH31,10.3,81.5359,251.5,20.2,47.8,61.2,5,3.7,235.6,3.9,284.8
NH32,10.4,82.0805,277.1,17.3,40.1,53.1,5.3,3.7,232.7,3.9,311.1
NH33,13.1,83.5802,282.3,18.4,41.9,54.9,5.3,4.3,228.6,3.9,318.5
NH34,8.1,76.8064,310.8,16.6,30.2,40.4,3.7,2.4,220.4,3.8,301.8
NH35,7.3,74.119,276.2,17.1,25.9,40.9,3.8,2.1,188.3,3.9,309
NH36,10.8,72.4512,277.1,17,37.2,77.2,4,3.8,173.8,3.8,316
NH37,7.6,64.0057,298.6,16.7,26.5,64.7,3.6,1.6,179.6,2.9,286.3
NH38,7.8,61.6754,315.7,16.7,35.8,56.4,3.4,2.1,187.1,2.4,279.5
NH39,8.1,61.4852,262.5,16.3,38.1,67.1,3.7,1.8,191.1,2.4,293.7
NH40,8.6,72.1773,336,19.5,36.1,59.1,4.1,0.7,244.6,3.2,273.6
NH41,9.5,81.4813,293.8,18.7,45.1,63.8,5.4,3.7,234.9,3.9,311.2
NH42,16.1,84.8337,266.7,20.2,54,70,5.3,4.9,244.6,4,313.6
NH43,13.7,84.7903,284.4,18.9,40.5,61.8,5.5,4.5,230,4,319
NH44,12.7,85.4052,284.2,18.9,35.7,62.2,5.8,4.7,222.7,4,318.7
NH45,13,86.7097,285.1,19.1,39.4,70.4,4.8,4.6,217.3,3.9,347.3
NH46,7.7,68.0874,292.5,16.5,27.9,60,3.7,2,183.2,3.7,316
NH47,5.6,59.8988,306.7,15.6,25.9,37.9,3.3,1.2,180.2,1.9,296.2
NH48,6.6,60.1887,311.4,15.7,23.3,66.1,3.3,1,185.5,2,305.1
NH49,3.2,60.1168,279.7,13.1,32.9,42.7,3.3,0.8,163.4,1.3,320.6
NH50,4.5,58.4465,340.1,18.3,23.3,48.1,3.6,0.7,100.5,2.8,273.5
NH51,8.9,79.7106,317.6,18.8,42.4,64.2,5,2.6,218.8,3.7,278.6
NH52,16.2,87.0864,285.4,20.7,64.2,83.4,5.9,7.9,250.4,4,319.9
NH53,15.1,85.9869,281.1,20.1,56.6,75.9,5.5,6.1,239.8,4,324.1
NH54,17.2,87.2876,285.9,20.1,44.7,72.4,5,4.9,229.2,4.1,370.7
NH55,24.2,88.6417,283.2,20.3,48.9,73.7,4.9,4.5,227.3,4.3,379.9
NH56,7.4,86.7741,286.4,16.5,41.7,70.9,4.7,3.8,204.9,4,360.4
NH57,6.4,69.9118,280.7,16.3,26.7,70.4,3.4,1.4,178.9,3.8,321.2
NH58,7.6,63.99,264.7,16.3,26.4,77.2,3.4,1.4,187.5,2.1,304
NH59,12.3,79.2719,282.3,18.1,31.8,79.8,4.1,1.4,178.3,3.3,356.8
NH60,5.9,51.4334,341,16.2,43.2,56.3,3.6,1.8,106.6,1.6,278.7
NH61,5.7,60.2957,332.4,16.2,25.4,52.5,3.5,0.7,76.5,2.5,275.7
NH62,9.5,82.6558,298.7,17.6,40.8,61.4,5.6,3.5,230.8,3.9,312.7
NH63,16.2,87.8544,278.9,20.3,65.2,87.1,5.1,8,239.3,4,336.4
NH64,21.9,87.4151,285.1,20.5,54.1,77.3,5.1,6.5,235.9,4.3,375.3
NH65,18.6,89.0536,286.4,20.3,46.6,77.2,4.7,4.9,230.3,4.3,380.2
NH66,14.5,89.6748,285.1,19.4,42.3,81.8,4.2,3.9,226.6,4,384.4
NH67,11,87.0083,289.2,18,35.8,81.4,4.1,3.7,195.8,4,363.7
NH68,13.3,90.0488,266.1,19.5,39.8,82.6,4.2,3.6,214.6,4,333.3
NH69,12.5,79.5866,269.5,19.6,33.7,81.9,4.1,1.3,164.5,3.8,323.3
NH70,16.3,92.4338,340.7,20.6,68,89.2,5.2,8.2,241.5,4,291.7
NH71,8,61.7343,339.6,16.9,36.4,61.5,5.7,0.9,83.2,2.7,288.8
NH72,11.4,77.2156,246.3,18.3,42.8,70.9,4.2,3.3,171,3.8,293.1
NH73,15.5,84.2693,246,19.9,64,76.4,5.2,7,223.7,3.9,302.2
NH74,21.3,86.3936,281.1,21,63.4,84.5,5.2,9.9,246.9,4.4,373
NH75,24.8,88.0972,279.6,20.2,53.8,77,5.5,7.4,238.4,4.5,391.6
NH76,24.3,88.567,281.3,20.3,49.4,73.5,5,6.6,233,4.5,390.1
NH77,21.4,91.2155,284.5,20.1,46.8,85,4.3,3.4,213.3,4.4,381.1
NH78,24.4,92.2759,279.9,20.2,50.1,75.8,5.1,6.4,230.4,4.4,386.2
NH79,15.9,84.6297,272.5,19.4,36.1,84.4,4.3,2.7,202.6,4.1,344.9
NH80,18.2,93.1673,284.5,20.4,68.1,89.7,5.4,7.9,237.2,3.9,342.1
NH81,15,90.3695,273.8,20.4,68.6,90.2,4.6,8,230.5,4,308
NH82,13.6,83.9119,252.9,20,67.3,85.3,4.4,8.4,227.5,3.9,308.4
NH83,10.4,79.0016,238.9,18.4,46.5,72.3,4.2,4.3,174.1,3.8,296.2
NH84,16,83.5396,258.2,18.8,48.9,66.6,5.4,9,214.8,4.2,322
NH85,25.7,89.1633,276.6,19.8,59.9,78.6,6.4,8.5,250.7,4.5,391
NH86,24.4,85.994,272.4,19.8,38.3,67.2,6,7,233,4.5,397
NH87,24.5,88.9398,272.8,19.9,50.2,72,5.7,7.5,226.4,4.5,397.4
NH88,23.8,87.4073,270.8,19.7,45.9,72.3,5.4,7.7,220.5,4.6,397
NH89,22.8,83.1307,275.8,19.5,41.1,70.4,4.8,6,219.7,4.6,392.2
NH90,13,77.9412,347.9,19,57.8,82.7,3.4,2.7,208.4,3.5,309.6
NH91,16.3,90.43,272.1,20.5,68.8,88.6,5.1,9.4,229.9,4.1,347.3
NH92,16.9,86.6103,260.9,20.4,69.1,88.2,5.5,9.8,230.9,4.1,343
NH93,13.7,85.6631,241.1,20.3,63.1,89,4.1,7.7,230.9,3.9,298
NH94,21.7,84.7678,277.6,19.5,61.1,80.8,4.8,11,225.5,4.6,354.6
NH95,26.1,88.0845,279.1,19.6,60.2,82.4,7.3,9,251.3,4.5,382.1
NH96,25.2,89.6779,286.8,19,46.6,74.4,6.7,6.8,235.5,4.4,371.1
NH98,23.8,83.949,262.1,19.6,39.8,58.1,7.7,7.3,234.4,4.6,396.5
NJ00,9.6,55.8796,342.4,17.3,45,67.3,3.2,1.7,173.2,3,301.6
NJ01,14,83.6045,307.3,19.6,61.9,89.1,3.4,7,225.5,4,345.2
NJ02,20.2,86.4105,259.8,20.4,67,87.8,4.5,10.5,230.2,4.6,343.6
NJ03,15.2,83.8736,238.9,19.5,60.7,85.4,3.6,8.6,223.9,4.1,307.9
NJ04,17.2,80.9279,243.5,18.2,51.3,68,3.7,8.3,199.1,4.4,313.1
NJ05,24.8,85.7888,275.6,19.6,57.9,82.5,7.7,9.3,245.8,4.4,378.4
NJ06,25.5,87.7451,262,17.7,52.8,75.3,8.2,8,243.3,4.3,392
NJ10,10.6,67.1454,344.7,18,48.4,69.7,3.4,2.5,174.5,3.7,310.6
NJ11,10.9,77.8872,283.4,17.9,54.1,71.4,3.4,4.4,196.3,3.9,332.2
NJ12,13.6,79.2933,261.5,18.7,56.4,79.9,3.5,9,213.2,4.4,330.3
NJ13,20,82.1172,257.9,19.1,58.8,81.7,3.8,9.9,222.3,4.7,334.5
NJ14,20.6,80.6529,252.7,19,54.4,75,3.8,9.2,207.2,4.6,329.2
NJ15,21.9,80.6296,273.4,18.9,48.4,69.9,4,8.5,194.3,4.6,371.2
NJ16,25.3,87.1601,234.4,17,48.8,72.5,9,8.1,238.2,4.3,384
NJ17,24.5,80.3416,225.1,19.4,31.2,52.5,9.6,7.5,234.8,4.6,393
NJ20,4.2,67.3095,339.9,17,44.4,62.2,3.4,4.9,170.4,3.4,342.4
NJ21,10.5,68.534,343.6,17.7,47.2,64.6,3.4,2.1,134.9,2.5,337.5
NJ22,11.3,73.4067,263.8,17.8,41.7,63.4,3.4,2.7,166.7,2.9,328.3
NJ23,10.8,75.7814,261,19,45.9,64.4,3.5,5.2,177.8,3,329.9
NJ24,22.3,80.6058,264.7,20.2,49.6,72.9,4.4,9,210.5,4.3,367.3
NJ25,24.2,82.8662,268,19.7,51.9,73.8,7.6,8.5,221.8,4.2,369.7
NJ26,25,86.9458,228.1,17.2,47.5,72.2,9.3,8.1,235.3,4.2,380.8
NJ27,24.7,81.8961,222.2,19.2,40.7,59.3,9.6,7.7,229.7,4.5,387
NJ30,11.4,71.6779,282.9,18.5,48.9,70.9,3.4,2.7,143.2,3.6,328.9
NJ31,11,72.9347,271.5,19.1,36,60.1,3.4,2.8,160.1,0.9,335.3
NJ32,10.4,74.5643,270.5,18.5,43.4,66.8,3.4,2.5,167.6,1.1,322.9
NJ33,10.2,75.2129,255.2,18.6,40.1,50,3.5,5.5,182,3.7,326.5
NJ34,18.1,77.4188,261.9,18.7,30.5,50.4,3.6,7,193.7,4,358.6
NJ35,22.9,82.7284,260.5,20.1,46.4,70,8,8.2,227.4,4,370.6
NJ36,24.5,85.1235,230.4,18.4,43.7,69.6,9,8.1,229.7,4,377.3
NJ40,4,75.7562,263,19.8,29.3,67.4,4.1,6.3,189.4,3.9,324.1
NJ41,8.4,72.6872,255.2,17.8,28.5,45.3,3.4,3,164.3,2.4,323.4
NJ42,12.4,74.2369,264.5,19.1,43.3,66.5,3.6,7.2,192.6,3.6,324
NJ43,11.2,73.9493,260.6,18.7,25.3,46.4,3.5,6.7,189.2,3.8,347
NJ44,18.5,76.4547,229.3,19.7,30.8,50.1,3.6,7,188.4,4,351.3
NJ45,19.2,76.6495,234.7,20.5,32.6,53.5,3.7,7.5,186.8,3.6,366.1
NJ46,22.3,83.6993,229.7,19,39.8,61,9.6,7.9,225.9,3.9,372
NJ50,3.7,75.4612,237.6,18.3,26.6,55.9,4,2.6,183.8,2.6,305.9
NJ51,3.7,72.0699,198.2,19.9,24.3,51.7,4.3,4.2,169.2,1,293.1
NJ52,13.3,71.3634,200.5,17.8,22.2,39.5,3.8,5.3,176,1.7,304.3
NJ53,14.4,70.391,200.8,19.9,26.3,39.7,3.7,7.2,166.5,2.4,316.3
NJ54,15.3,73.6201,211.6,19.7,19.8,42,3.8,6.8,186,3.4,342.6
NJ55,9,73.3492,211.3,18.5,15.5,40.6,3.5,5,169.8,2.4,348.5
NJ56,18.5,79.6321,203.4,19.9,34.3,48.8,9.4,7.8,220.2,3.8,340.6
NJ60,2.2,74.7384,233.6,18,21.5,52.9,3.7,2.4,178.2,1,307.4
NJ61,3.7,72.9158,233.7,19.2,23.6,51.5,4.1,1,156.8,1,318.9
NJ62,14.3,72.3581,197.5,18,31.1,46.7,4,7.1,193.1,3.5,305.7
NJ63,3.6,68.6835,172.4,19.6,33.8,40.8,3.7,1,165.9,2,295.2
NJ64,15.1,70.2344,179,19.9,29.8,39.3,3.8,7.2,169.3,2.9,308.2
NJ65,14.3,71.29,184.8,20.1,29.5,41.5,3.9,7,181.2,3.2,312.1
NJ66,16.7,74.9721,189.4,20.5,32.8,45.9,9,6.8,199.4,2.8,322.4
NJ70,3.7,74.6908,207.6,21.1,39.6,53.3,7.5,1,177.7,3.8,301.9
NJ71,3.7,73.1044,178.7,21,30.5,51.7,8.7,1.9,182.7,3.2,288.8
NJ72,15,70.3357,150.7,19.3,34.6,41.5,8.4,7,171.2,2.5,304.5
NJ73,15.2,69.4822,160,19.2,33.5,40.9,3.9,6.9,167.1,2.6,299.1
NJ74,14.5,68.2317,166.3,19.4,30.9,40.8,3.9,7.2,167.1,2.4,308.4
NJ75,14.9,68.7282,182.7,19.4,29.5,39.8,3.7,6.7,164.3,2.5,319.3
NJ76,13.7,69.594,184.9,18.7,33.8,41.8,8.8,3.5,171,2.7,317.3
NJ80,4.1,76.1649,199.5,19.8,36.3,49.4,9,1.1,178.8,2.8,305.3
NJ81,3.7,73.2272,180.3,21,38.4,54.6,7.9,1.2,188.9,3.8,298.2
NJ82,3.8,69.5338,140.9,19.3,30.6,43,8.8,1.5,168.1,2.4,296.6
NJ83,3.8,69.9759,159,19.2,35.7,42.8,4.4,5.2,166.6,2.2,306.9
NJ84,3.7,67.8824,165.2,19.9,32,41.8,8.9,1.4,169,2.4,300.8
NJ85,4.3,67.9462,187.7,18.9,38.3,41.6,3.9,1.5,171.9,2.8,310.1
NJ86,14.7,72.7476,201,19.2,30.9,42.9,8.9,7,182.3,3.1,325.6
NJ90,3.8,76.1645,228.9,18.2,48,57.3,9.9,2.9,190.5,3.9,339.6
NJ91,1.5,74.3288,165.7,16.9,45.2,57,9.9,2.5,188.2,3,299.2
NJ92,13.2,70.3434,137.5,18.7,31.7,42,9.3,1.6,175.9,2.4,298.1
NJ93,4.4,69.4153,149.1,19,30.8,41.4,8.7,1.6,168.5,2.4,295.4
NJ94,6,68.3183,161.4,20.1,32.1,43,9.1,4.3,169.2,2.5,299.9
NJ95,14.6,67.6782,187.7,18.6,29.3,40.1,8.7,5.6,167.6,2.4,311.4
NJ96,11.7,71.0121,172.9,18.8,32.8,44.7,8.9,2.7,175.6,2.6,308.1
NK02,1.1,75.4945,191.8,19.1,47.2,52.4,9.4,2.8,182.4,3.3,352.9
NK03,1,73.5621,145.2,18.4,38.6,50.9,9.5,3.2,173.5,3,295.5
NK04,4.3,68.9065,163.4,20.4,37,45,9.4,2.5,173.5,3,298.7
NK05,11.7,72.4123,186.3,18.6,41.5,47.5,9,5.4,177.2,3,309
NK06,15.5,74.5605,190.4,19.9,41.4,50.4,9.2,5.2,179.5,3,318.9
NK13,0.9,70.5082,173.2,17.9,46.2,57,9.9,2.5,195.2,2.9,302.3
NK14,11.5,72.3978,185.5,18.7,27.6,41.6,9,2.6,170.6,2.5,316.9
NK15,0.8,73.062,200.4,19.1,49.9,53.1,9.2,4,188.4,3.1,357.5
NL57,2.7,23.131,300,12.2,33.5,17.8,5.2,0.7,162.1,2.4,384.9
NL58,5,38.6148,308.3,16.6,38,22,7.8,1.6,180.2,2.8,382.1
NL68,3.5,29.0798,305.5,14.8,37.8,22.8,6.3,0.8,77.3,2.8,379.1
NL69,6,55.9617,307.7,16,41.3,30,7.8,3.5,176.8,2.9,385
NL79,3.8,33.9882,304.9,15.1,38.6,23.2,7.3,0.7,89.1,2.5,385.7
NL93,5.7,46.8288,286.6,17.8,30.1,15.4,5.6,2.8,186.6,3.9,367.8
NL94,7.1,57.6258,278.5,18.4,34.1,20.6,9.6,3.7,182.1,3.6,377.1
NM04,7.3,58.9106,283.7,18.7,32.8,18.9,9.7,3.8,186.9,3.6,375.5
NM05,5.5,40.9319,277.1,16.4,27.7,20.8,6.8,2.4,182.6,4.2,361.4
NM15,8.5,63.723,276.2,18.7,34.4,38.9,4.5,4.2,188.1,3.7,352.4
NM16,3.8,25.012,284.2,15.4,22,18.6,4.3,2.1,194.1,3.7,357.3
NM19,7.4,22.2377,267.5,13.8,28,19.6,4.6,0.8,205.7,3.6,356.2
NM21,5.7,50.602,270.2,17.3,26.2,25.1,5.6,0.8,119.5,4.5,347.8
NM22,6.8,56.8982,275.2,18.4,35.7,16.2,4.3,4.1,131.8,4.3,366.4
NM23,7.9,30.812,288.2,16.4,16.6,37.7,3.9,1,186.4,4.3,381.1
NM24,8.6,42.7064,291.6,17.8,22.4,38,4.8,3.5,192.1,4.6,363.5
NM25,7.1,66.0793,277.5,19.2,35,43.1,4.3,4.3,201.5,3.7,353
NM26,7.9,65.5221,291.4,18.4,35.3,43.4,4.2,4.4,187.9,3.5,354.6
NM29,9.3,26.8092,284.1,15.5,29.7,36.5,4.3,0.7,192,4.1,356
NM31,6.8,58.9946,278.9,17.3,30.5,23.2,4.7,3.5,118.7,4.5,375.6
NM32,9.7,70.5492,272.6,21.1,33.7,37,7.6,3.7,137.5,4.3,358.9
NM33,5.4,66.855,282.6,19,35.3,32.8,5.5,4.1,196.8,4.5,355.2
NM34,5.9,70.2421,283.3,19.1,41.5,39.4,5.3,3.5,208.1,4.1,349.5
NM35,5.8,66.4017,289,18.6,39.7,27.3,5.1,3.9,214.6,4.6,369.9
NM37,6.8,31.8618,306.5,16.6,24.7,39.1,4.3,0.7,212.7,4.7,360
NM38,6.8,43.881,294.4,16.3,31.6,36.7,4.2,3.6,213.9,4.7,359.7
NM39,9.5,73.6073,293.2,18.1,38.7,48,4.2,4.4,174.2,2.6,302.7
NM40,7.9,49.1403,278,16.4,22.8,14.2,4.2,0.8,113.1,4.3,384.6
NM41,4.5,62.1881,291.5,18.3,34.7,17.8,5.2,2,195.2,4.5,369.2
NM42,9,73.163,290.5,19.2,36.6,42.9,5.7,3.2,211.2,3.7,334.8
NM43,12.2,76.4444,287.3,19.7,46.8,46.1,5.3,3.1,228.3,2.9,322.5
NM44,6.1,72.1276,299.8,19.2,37.8,39.5,5.5,3.2,204.7,4.2,321.5
NM45,6.2,74.183,286.8,19,34.6,17.7,5.6,3.4,206.8,3.5,342.4
NM46,8.9,75.3398,279.4,19,40.4,53.2,4.4,3,175.5,3.5,347.3
NM47,10.2,75.1239,294.4,19.6,42.2,48.8,4.4,3,213,3.7,349
NM48,8.8,73.5221,289.2,18.9,42.7,48.5,4.3,3.2,219.1,3.3,352.8
NM49,8.7,75.4037,297.9,18.5,43.8,52.8,4.4,4.2,196.5,3.1,347.9
NM51,3.5,46.1122,292.9,18.2,27.7,25.9,5.1,1.9,192.1,4,356.6
NM52,9.2,75.7286,296.5,19.7,35.4,42,6.1,3.5,230.1,2.1,317.5
NM53,6.8,79.9569,303.3,19.2,34.1,38.7,5.5,3.6,215.4,3,298
NM54,9.5,80.721,288.1,19.7,48.3,44.9,5.5,4,238,3.5,340.2
NM55,8.4,80.172,289.3,20,45,42.7,5.2,2.8,234.3,3.6,346.1
NM56,10.5,78.9944,284.7,19.8,51.2,54.4,4.4,3.8,216.8,3.3,327.5
NM57,8.1,76.8641,282.9,19.3,43.3,54.4,4.3,3.4,195.9,3.5,343
NM59,4.9,41.0527,292.3,15.4,22,41,4.4,1.4,171,4.4,354.6
NM60,6.3,59.598,295.3,16.7,24.2,24.8,5.2,1.3,123.3,2.2,377.5
NM61,1.2,50.2689,286.9,17.9,28.2,25.6,4.9,2.6,188.8,3.6,387.5
NM62,8,73.0898,301.6,19.5,26.7,37.7,6.1,2.7,172.7,3.6,311.7
NM63,7.1,76.6452,304.1,19.7,34.3,36.6,4.9,2.1,196.9,2.4,300.5
NM64,7,80.3307,289,19.8,41.2,45.7,5.4,2.9,245.9,3.2,341.9
NM65,7.4,79.0795,283.3,19.1,39.7,44.2,5,2.6,210,3.3,322.2
NM66,13.7,80.5002,292.5,20,47.3,52.8,4.6,4.1,214,3.5,306.6
NM67,9.2,77.9142,283.6,19.9,43.4,56.5,4.4,4,201.2,3.5,341.4
NM68,7.6,77.3971,285.5,19.5,42.6,45.3,4.6,5,204.2,3.9,339.1
NM69,7.9,76.008,285,19.5,41.9,45,4.6,4.9,181.4,3.9,338
NM70,12.7,87.0912,292.2,20.3,49.6,50.5,4.1,1.9,175.3,3.1,395.6
NM71,14,86.8475,289.9,20.9,51.1,52,4.1,3.1,211.7,3.1,389.4
NM72,7.9,70.8801,287.8,19.6,29.5,33.7,5.5,2.1,204.7,1.9,379.9
NM73,10,80.9973,293.4,20.3,47.7,45.6,5.4,3.4,244.6,4.2,363.4
NM74,8.5,81.397,309.9,19.9,48.9,48.6,4.8,3.1,236.1,3.5,302
NM75,7.2,77.6942,308.8,19.6,35.3,35.6,4.9,1.5,164.9,3.2,289.9
NM76,8.4,81.9161,287.5,19.9,43.7,49.2,4.7,4.3,229.8,3.2,326.6
NM77,7.5,78.9963,295.2,20.3,36.8,45.1,4.9,1.7,173.6,3.2,280.5
NM78,6.8,76.7029,279.5,20,39.3,37.3,4.7,4.4,168.1,3.9,306.7
NM79,7.6,78.3921,267.7,20.3,39.2,46.4,4.7,3.9,160.1,3.9,328.1
NM80,13.8,87.2202,295.4,20.9,51.5,55.6,4.1,1.9,191.9,3.1,371.3
NM81,13.7,85.2118,287,21.2,54.9,54.9,4.2,2.1,212.7,2.9,337.7
NM82,13.5,86.8411,291,21.2,52.5,50.9,4.2,2,223.2,2.8,371.2
NM83,13.3,87.7545,296.1,21,50.2,45.9,4.3,3.3,239.4,3.1,381.5
NM84,13.4,87.3904,299.8,20.8,51.2,45.8,4.3,3.3,242.7,3.7,370.1
NM85,6.3,77.9326,314.4,19.9,32.6,37.6,4.9,1.5,163,2.4,283.6
NM86,10.6,82.203,291.4,19.7,40.9,49.6,4.5,1.8,211.8,3.8,300.4
NM87,4.3,60.9858,298.6,20.6,19.9,22.1,4.4,0.8,125.1,3,275.9
NM88,4.1,62.331,285.6,20.2,20.9,28.4,4.6,0.9,195.1,2.3,274.8
NM89,4.3,70.0802,280.3,20,22.6,31.9,4.6,0.9,140.4,2.6,280.3
NM90,11.3,81.763,286.5,21.4,51.1,48.6,4.2,2.2,220.2,3.1,329.5
NM91,12.1,81.4936,288.5,21.2,50.2,43.9,4.2,2.2,199.9,3.1,333.3
NM92,12.7,81.6951,295.7,21.2,49.8,43.1,4.2,2.2,207.2,3.2,331.2
NM93,13,86.4606,294.2,21.2,53.1,51.2,4.2,2.1,224,2.2,367.9
NM94,13,87.9468,294.9,20.9,50.1,51.3,4.3,2.2,230.4,3.3,352.5
NM95,14,78.7522,286.3,19.9,38.3,41.1,4.6,1.7,165.6,3.9,349.4
NM96,6.3,76.355,291.9,21.1,39.8,38.3,4.6,1.6,172.8,3.6,288.1
NM97,5.8,64.4373,272.5,20.6,27.3,22.4,4.4,0.7,186.2,2.5,307.9
NM98,3.4,63.7693,298.9,20.2,29.2,27,4.2,1.1,161.3,2.6,272.2
NM99,3.4,57.0943,291.5,18.7,16.6,24.3,4.1,0.8,166,3.2,270.9
NN00,10.4,81.6161,286.9,21.7,49.4,50.8,4.3,2.2,249.3,3.1,330.6
NN01,12.7,80.174,305.6,21.2,47.1,51.3,4.2,2.1,255.3,3.1,324
NN02,13,81.8007,301.6,21.2,51,46.1,4.2,2.2,235.6,3.1,375.6
NN03,12.6,82.6775,331.1,20.6,46.2,47.5,4.3,2.2,218.7,3.1,316.1
NN04,12.2,81.8089,332.8,20.5,45.5,46.1,4.4,2,221.7,3.2,298.7
NN05,12.2,83.7791,314.9,20.7,44.9,52.5,4.4,1.5,219.6,3.2,319.6
